Object ID,Name of site,Place,Region,Site description,Campsite category,Number of powered sites,Number of unpowered sites,Bookable,Free,Facilities,Activities,Dogs alllowed,Landscape type,Access by,Has alerts,URL to thumbnail,URL to webpage,Description of place,x,y,DOC system ID,Date loaded to GIS,GlobalID,x2,y2
185358,Kiosk Creek Campsite,Fiordland National Park,Fiordland,There are spectacular views of glacial moraine deposits at this Fiordland campsite.,Standard,0,10,Yes,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Toilets - non-flush, Toilets",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/abb47a31f10d4eaea63ca1547351fb29.aspx,https://www.doc.govt.nz/link/48d5461385ce4e75a35bd2e1254dfc6f.aspx,Located in Fiordland National Park,1207153,5009087,100065488,3/31/2026 9:09:32 AM,dcd92271-cd00-4690-8b52-2ab09bf2589e,1207152.99995682,5009087.00061727
185359,Butchers Flat Campsite,Mount Richmond Forest Park,Marlborough,"This grassy, flat camping area was once a gold mining area and is great for picnicking or swimming. You'll also find walking and mountain biking opportunities nearby.",Standard,0,20,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Mountain biking, Picnicking, Swimming, Walking and tramping",Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,Rivers and lakes,"Campervan, Car",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/fd76a102f4044c8087b89a7675f22132.aspx,https://www.doc.govt.nz/link/7029023d398e4f19b3d99c2ad2bb695f.aspx,Located in Mount Richmond Forest Park,1649697,5419298,100066095,3/31/2026 9:09:32 AM,0591f7c8-1eb6-4185-a493-1749d1901109,1649697.00000001,5419298.00000095
185360,Wentworth Valley Campground,Coromandel Forest Park,Coromandel,"Once a large gold mining settlement with houses, shops and schools, this is now a remote but comfortable campsite. ",Standard,0,0,Yes,,Toilets,,Not Applicable,,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ac77db097cd64dccb60b432aa731c0b7.jpg,https://www.doc.govt.nz/link/eebb2451f4a44bea8f095dbd995f2274.aspx,Located in Coromandel Forest Park,1849966,5874024,100044315,3/31/2026 9:09:32 AM,4d916814-812b-40bf-8d6d-b933b5f8180d,1849966.00000636,5874024.00000707
185361,Ōtaki Forks Campsite,Ōtaki Forks area,Wellington/Kapiti,"One of the main entrances to Tararua Forest Park, the campsite is surrounded by open river terraces and regenerating bush.",Standard,0,150,Yes,,"Non-powered/tent sites, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply","Fishing, Kayaking and canoeing, Swimming, Walking and tramping",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c0ba9da08a9548f2b5d6c243930e68e5.jpg,https://www.doc.govt.nz/link/5deef331a18b408db4e1f86c43d13434.aspx,Located in Ōtaki Forks area,1787221,5471991,100031362,3/31/2026 9:09:32 AM,d97f8b68-9173-4864-b562-0ac57bdd42b7,1787221.40470148,5471991.09960185
185362,Piano Flat Campsite,Waikaia Forest Conservation Area,Southland,"This is a riverside campsite in a farmland area. There are walks and tramps from here or go horse riding, biking, hunting or on 4WD excursions.",Standard,0,50,Yes,,"BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply","Four wheel driving, Horse riding, Mountain biking",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c1517d5755b14fd3893bf59827ddc2b4.jpg,https://www.doc.govt.nz/link/70ab946ce5474bdfbff48ec87d759e78.aspx,Located in Waikaia Forest Conservation Area,1289053,4946997,100066033,3/31/2026 9:09:32 AM,dc983693-ef67-4d9e-b3a3-5ca5561c2ba9,1289052.99998129,4946997.00010322
185363,Lyell Campsite,Lyell area,West Coast,"The site of the historic gold-rush town of Lyell, this large, grassed campsite is easily accessible. Explore the gold workings at settlements of Gibbstown (2 hr return), Zalatown and 8 Mile, plus the Alpine Battery site.",Standard,0,18,Yes,,"BBQ, Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply",Walking and tramping,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1a5fc4edde9b440491dff59b666e6f6d.jpg,https://www.doc.govt.nz/link/18af6f4c747049988b450066d4bc061e.aspx,Located in Lyell area,1520990,5372328,100043484,3/31/2026 9:09:32 AM,6df97466-1952-4cbe-878b-75303fee4a8d,1520989.99999998,5372328.00000097
185364,The Green Campsite,Great Barrier Island/Aotea,Auckland,A small campsite on the sheltered and scenic waters of Whangaparapara Harbour. This is a walk-in or boat-in campsite.,Standard,0,15,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Boat, Foot",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/75cb5eb037d24ff8b1d25b6c9b5ac387.jpg,https://www.doc.govt.nz/link/43a7ad2e4af7493d8db660b59bf75af3.aspx,Located in Great Barrier Island/Aotea,1815389,5987076,100044417,3/31/2026 9:09:32 AM,c4fc5a14-dfae-4a1f-b1d8-14c7315e279b,1815389.00000269,5987076.00000223
185365,Awana Beach Campsite,Great Barrier Island/Aotea,Auckland,"This campsite is near Awana Beach, one of the island's most popular places to surf.",Standard,0,60,Yes,,"Non-powered/tent sites, Shelter for cooking, Shower - cold, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",Kayaking and canoeing,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/73bd41d2ef67420f871e80539f36a2ca.jpg,https://www.doc.govt.nz/link/f8a213f8ccc8458485daa7eaf7a1df7d.aspx,Located in Great Barrier Island/Aotea,1822809,5990750,100044955,3/31/2026 9:09:32 AM,595ce47f-1673-4a1d-b88f-2877435f88ba,1822809.00000323,5990750.00000278
185366,Thicket Burn Campsite,Fiordland National Park,Fiordland,"This is a basic campsite in southern Fiordland. On the edge of the park 5 km from Lake Hauroko, New Zealand’s deepest lake. Fish, swim, or tramp nearby.",Basic,0,20,No,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",Fishing,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/20eb635c7da54c70901a295848b6e931.jpg,https://www.doc.govt.nz/link/755d59b6789046848bf4ea41b6f5f8fa.aspx,Located in Fiordland National Park,1170715,4890119,100066034,3/31/2026 9:09:33 AM,2aad3ab3-7cd2-40ca-8c6b-2748be75c130,1170714.99039615,4890119.00146939
185367,Lake Ōkareka Campsite,Lake Ōkareka Scenic Reserve,Bay of Plenty,This lakeside campsite  is only 15 min from Rotorua. You can swim or fish in the lake.,Standard,0,12,No,,"Non-powered/tent sites, Shelter for cooking, Water from stream, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply","Fishing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Boat, Campervan, Car",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/394bf65f8a06418393108d7ed92ab857.jpg,https://www.doc.govt.nz/link/18c5279fbafb4035a29eea6e514e75aa.aspx,Located in Lake Ōkareka Scenic Reserve,1894453,5770867,100084979,3/31/2026 9:09:33 AM,dd05ea5b-927c-4eff-b116-c74e9b5a309b,1894453.00001621,5770867.00002712
